Województwo;x1;x2;x3;x4;x5;x6
Polska;82,8;382,7;0,303;2,649;1,153;1,199
Dolnoœl¹skie;91,5;381,2;0,336;3,053;1,048;0,556
Kujawsko-pomorskie;80,1;355,2;0,295;1,575;0,829;0,94
Lubelskie;73,7;347,2;0,187;0,748;0,418;0,306
Lubuskie;59,2;402,4;0,114;0,236;0,157;2,166
£ódzkie;93,4;373,2;0,428;6,241;2,766;0,878
Ma³opolskie;147,7;376,2;0,481;3,715;1,68;3,043
Mazowieckie;85,9;440,4;0,278;3,347;1,384;0,672
Opolskie;89,2;414,2;0,414;1,445;2,656;2,423
Podkarpackie;79,9;343,1;0,151;0,661;0,353;0,23
Podlaskie;55,7;340,2;0,084;0,213;0,168;0,228
Pomorskie;64,1;385,8;0,191;1,294;0,497;0,322
Œl¹skie;164,5;374;1,768;12,332;6,113;10,735
Œwiêtokrzyskie;105,7;353,6;0,333;2,434;1,605;2,878
Warmiñsko-mazurskie;50,9;332,6;0,058;0,19;0,095;0,108
Wielkopolskie;86,5;437,9;0,235;5,515;0,986;0,382
Zachodniopomorskie;57,3;337,2;0,249;1,079;0,751;0,218
