"Kod";"Nazwa";"ludność w tysiącach;2021;[tys. osób]";
0200000;"DOLNOŚLĄSKIE";2897,74;
0400000;"KUJAWSKO-POMORSKIE";2017,72;
0600000;"LUBELSKIE";2038,30;
0800000;"LUBUSKIE";985,49;
1000000;"ŁÓDZKIE";2394,95;
1200000;"MAŁOPOLSKIE";3430,37;
1400000;"MAZOWIECKIE";5512,79;
1600000;"OPOLSKIE";948,58;
1800000;"PODKARPACKIE";2085,93;
2000000;"PODLASKIE";1148,72;
2200000;"POMORSKIE";2358,73;
2400000;"ŚLĄSKIE";4375,95;
2600000;"ŚWIĘTOKRZYSKIE";1187,69;
2800000;"WARMIŃSKO-MAZURSKIE";1374,70;
3000000;"WIELKOPOLSKIE";3500,03;
3200000;"ZACHODNIOPOMORSKIE";1650,02;
