"Kod";"Nazwa";"zasoby spółdzielni mieszkaniowych;liczba mieszkań;ogółem;2020;[-]";"zasoby spółdzielni mieszkaniowych;wysokość zaległości;ogółem;2020;[tys. zł]";"zasoby zakładów pracy (bez Skarbu Państwa);liczba mieszkań;ogółem;2020;[-]";"zasoby zakładów pracy (bez Skarbu Państwa);wysokość zaległości;ogółem;2020;[tys. zł]";"zasoby osób fizycznych w budynkach objętych wspólnotami mieszkaniowymi;liczba mieszkań;ogółem;2020;[-]";"zasoby osób fizycznych w budynkach objętych wspólnotami mieszkaniowymi;wysokość zaległości;ogółem;2020;[tys. zł]";"zasoby towarzystw budownictwa społecznego (TBS);liczba mieszkań;ogółem;2020;[-]";"zasoby towarzystw budownictwa społecznego (TBS);wysokość zaległości;ogółem;2020;[tys. zł]";"zasoby innych podmiotów;liczba mieszkań;ogółem;2020;[-]";"zasoby innych podmiotów;wysokość zaległości;ogółem;2020;[tys. zł]";"zasoby Skarbu Państwa;liczba mieszkań;ogółem;2020;[-]";"zasoby Skarbu Państwa;wysokość zaległości;ogółem;2020;[tys. zł]";
0200000;"DOLNOŚLĄSKIE";70487;75490,4;780;4968,3;50344;77538,0;2518;4547,0;0;0,0;836;3015,8;
0400000;"KUJAWSKO-POMORSKIE";45269;40695,3;471;3080,2;19629;28642,0;1458;1272,7;61;103,3;368;1627,3;
0600000;"LUBELSKIE";51683;49593,2;108;1066,8;21247;24120,0;1041;2121,9;29;35,2;248;1180,6;
0800000;"LUBUSKIE";20582;23020,0;205;5512,6;16249;21989,0;803;1173,1;0;0,0;533;2057,8;
1000000;"ŁÓDZKIE";78004;92229,0;239;1402,9;29607;38598,0;1410;3324,9;32;170,9;342;1079,6;
1200000;"MAŁOPOLSKIE";67924;56049,6;271;2943,4;43565;47527,0;1465;2023,3;299;1428,6;103;298,5;
1400000;"MAZOWIECKIE";166601;273698,6;667;5174,6;201464;284764,0;4287;7888,5;113;227,4;877;6866,7;
1600000;"OPOLSKIE";19393;15409,3;136;2915,8;13110;25848,0;288;392,3;0;0,0;89;1696,8;
1800000;"PODKARPACKIE";32589;45082,6;86;651,7;13570;12441,0;521;760,0;0;0,0;175;464,8;
2000000;"PODLASKIE";36790;22216,0;41;182,1;11071;11351,0;1478;8100,6;116;318,0;16;82,4;
2200000;"POMORSKIE";55697;51002,7;395;6515,3;69283;99443,0;2013;3930,8;28;87,2;767;2879,6;
2400000;"ŚLĄSKIE";138045;194267,1;16179;241482,8;52885;105722,0;3621;4955,3;775;6430,0;236;2147,3;
2600000;"ŚWIĘTOKRZYSKIE";28907;41516,1;121;2768,6;10983;14906,0;145;178,1;0;0,0;33;23,3;
2800000;"WARMIŃSKO-MAZURSKIE";33631;25044,8;311;6228,0;21808;40675,0;645;644,5;93;170,0;297;528,6;
3000000;"WIELKOPOLSKIE";53554;53747,3;571;2707,4;32649;33774,0;1329;1773,9;205;269,6;648;2762,5;
3200000;"ZACHODNIOPOMORSKIE";50430;48932,1;318;1031,2;32337;53232,0;5529;32964,6;8;4,1;1621;4703,7;
